"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-07072","assets/gallery/generated/img-07072.png","鈕","ㄋㄧㄡˇ","鈕","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%87&word=%E9%88%95"
"img-07073","assets/gallery/generated/img-07073.png","鈕扣","ㄋㄧㄡˇ","鈕","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%87&word=%E9%88%95"
"img-07074","assets/gallery/generated/img-07074.png","鈞","ㄐㄩㄣ","鈞","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A9%E3%84%A3&word=%E9%88%9E"
"img-07075","assets/gallery/generated/img-07075.png","鈞安","ㄐㄩㄣ","鈞","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A9%E3%84%A3&word=%E9%88%9E"
"img-07076","assets/gallery/generated/img-07076.png","鈞鑒","ㄐㄩㄣ","鈞","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A9%E3%84%A3&word=%E9%88%9E"
"img-07077","assets/gallery/generated/img-07077.png","鈣","ㄍㄞˋ","鈣","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9E%CB%8B&word=%E9%88%A3"
"img-07078","assets/gallery/generated/img-07078.png","鈣質","ㄍㄞˋ","鈣","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9E%CB%8B&word=%E9%88%A3"
"img-07079","assets/gallery/generated/img-07079.png","鈦","ㄊㄞˋ","鈦","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B&word=%E9%88%A6"
"img-07080","assets/gallery/generated/img-07080.png","開化","ㄎㄞ","開","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8E&SN2=%E3%84%8E%E3%84%9E&word=%E9%96%8B"
"img-07081","assets/gallery/generated/img-07081.png","開拍","ㄎㄞ","開","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8E&SN2=%E3%84%8E%E3%84%9E&word=%E9%96%8B"
"img-07082","assets/gallery/generated/img-07082.png","開明","ㄎㄞ","開","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8E&SN2=%E3%84%8E%E3%84%9E&word=%E9%96%8B"
"img-07083","assets/gallery/generated/img-07083.png","閎","ㄏㄨㄥˊ","閎","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%E3%84%A5%CB%8A&word=%E9%96%8E"
"img-07084","assets/gallery/generated/img-07084.png","閏","ㄖㄨㄣˋ","閏","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%E3%84%A3%CB%8B&word=%E9%96%8F"
