"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-00023","assets/gallery/generated/img-00023.png","房子","ㄈㄤˊ","房","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A4%CB%8A&word=%E6%88%BF"
"img-00024","assets/gallery/generated/img-00024.png","杯子","ㄅㄟ","杯","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9F&word=%E6%9D%AF"
"img-00025","assets/gallery/generated/img-00025.png","果汁","ㄍㄨㄛˇ","果","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%A8%E3%84%9B%CB%87&word=%E6%9E%9C"
"img-00026","assets/gallery/generated/img-00026.png","泳衣","ㄩㄥˇ","泳","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%A5%CB%87&word=%E6%B3%B3"
"img-00027","assets/gallery/generated/img-00027.png","玩具","ㄨㄢˊ","玩","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%A2%CB%8A&word=%E7%8E%A9"
"img-00028","assets/gallery/generated/img-00028.png","花朵","ㄏㄨㄚ","花","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%E3%84%9A&word=%E8%8A%B1"
"img-00029","assets/gallery/generated/img-00029.png","雨衣","ㄩˇ","雨","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%CB%87&word=%E9%9B%A8"
"img-00030","assets/gallery/generated/img-00030.png","雨傘","ㄩˇ","雨","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%CB%87&word=%E9%9B%A8"
"img-00031","assets/gallery/generated/img-00031.png","星星","ㄒㄧㄥ","星","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A5&word=%E6%98%9F"
"img-00032","assets/gallery/generated/img-00032.png","洗手","ㄒㄧˇ","洗","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%CB%87&word=%E6%B4%97"
"img-00033","assets/gallery/generated/img-00033.png","香蕉","ㄒㄧㄤ","香","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A4&word=%E9%A6%99"
"img-00034","assets/gallery/generated/img-00034.png","家人","ㄐㄧㄚ","家","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%9A&word=%E5%AE%B6"
"img-00035","assets/gallery/generated/img-00035.png","書包","ㄕㄨ","書","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8&word=%E6%9B%B8"
"img-00036","assets/gallery/generated/img-00036.png","書本","ㄕㄨ","書","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8&word=%E6%9B%B8"
"img-00037","assets/gallery/generated/img-00037.png","桌子","ㄓㄨㄛ","桌","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%E3%84%9B&word=%E6%A1%8C"
"img-00038","assets/gallery/generated/img-00038.png","烏龜","ㄨ","烏","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8&word=%E7%83%8F"
"img-00039","assets/gallery/generated/img-00039.png","草莓","ㄘㄠˇ","草","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%A0%CB%87&word=%E8%8D%89"
"img-00040","assets/gallery/generated/img-00040.png","剪刀","ㄐㄧㄢˇ","剪","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A2%CB%87&word=%E5%89%AA"
"img-00041","assets/gallery/generated/img-00041.png","彩虹","ㄘㄞˇ","彩","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%9E%CB%87&word=%E5%BD%A9"
"img-00042","assets/gallery/generated/img-00042.png","晚餐","ㄨㄢˇ","晚","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%A2%CB%87&word=%E6%99%9A"
"img-00043","assets/gallery/generated/img-00043.png","眼睛","ㄧㄢˇ","眼","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A2%CB%87&word=%E7%9C%BC"
"img-00044","assets/gallery/generated/img-00044.png","蛋黃","ㄉㄢˋ","蛋","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A2%CB%8B&word=%E8%9B%8B"
"img-00045","assets/gallery/generated/img-00045.png","蛋糕","ㄉㄢˋ","蛋","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A2%CB%8B&word=%E8%9B%8B"
"img-00046","assets/gallery/generated/img-00046.png","野餐","ㄧㄝˇ","野","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9D%CB%87&word=%E9%87%8E"
"img-00047","assets/gallery/generated/img-00047.png","鳥窩","ㄋㄧㄠˇ","鳥","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A0%CB%87&word=%E9%B3%A5"
"img-00048","assets/gallery/generated/img-00048.png","帽子","ㄇㄠˋ","帽","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A0%CB%8B&word=%E5%B8%BD"
"img-00049","assets/gallery/generated/img-00049.png","椅子","ㄧˇ","椅","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%CB%87&word=%E6%A4%85"
"img-00050","assets/gallery/generated/img-00050.png","湯圓","ㄊㄤ","湯","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A4&word=%E6%B9%AF"
"img-00051","assets/gallery/generated/img-00051.png","窗戶","ㄔㄨㄤ","窗","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94%E3%84%A8%E3%84%A4&word=%E7%AA%97"
"img-00052","assets/gallery/generated/img-00052.png","跑步","ㄆㄠˇ","跑","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A0%CB%87&word=%E8%B7%91"
"img-00053","assets/gallery/generated/img-00053.png","雲朵","ㄩㄣˊ","雲","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%A3%CB%8A&word=%E9%9B%B2"
"img-00054","assets/gallery/generated/img-00054.png","圓形","ㄩㄢˊ","圓","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%A2%CB%8A&word=%E5%9C%93"
