"BaseSymbol","Combination","Character","SourceUrl"
"ㄉ","ㄉㄨㄥˋ","峒","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","恫","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","洞","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","凍","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","胴","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","動","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄉ","ㄉㄨㄥˋ","棟","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%A5%CB%8B#selectL"
"ㄊ","˙ㄊㄡ","頭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%CB%99%E3%84%8A%E3%84%A1#selectL"
"ㄊ","ㄊㄚ","他","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","它","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","她","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","牠","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","祂","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","趿","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚ","塌","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A#selectL"
"ㄊ","ㄊㄚˇ","塔","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%87#selectL"
"ㄊ","ㄊㄚˋ","拓","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","沓","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","榻","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","漯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","遝","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","遢","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","踏","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","撻","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","蹋","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","獺","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","躂","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
"ㄊ","ㄊㄚˋ","闥","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A%CB%8B#selectL"
