"FrequencyRank","ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"160","img-00036","assets/gallery/generated/img-00036.png","書本","ㄕㄨ","書","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8&word=%E6%9B%B8"
"170","img-00004","assets/gallery/generated/img-00004.png","手套","ㄕㄡˇ","手","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A1%CB%87&word=%E6%89%8B"
"247","img-00031","assets/gallery/generated/img-00031.png","星星","ㄒㄧㄥ","星","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A5&word=%E6%98%9F"
"275","img-00016","assets/gallery/generated/img-00016.png","西瓜","ㄒㄧ","西","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7&word=%E8%A5%BF"
"286","img-00054","assets/gallery/generated/img-00054.png","圓形","ㄩㄢˊ","圓","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%A2%CB%8A&word=%E5%9C%93"
"298","img-00012","assets/gallery/generated/img-00012.png","吃飯","ㄔ","吃","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94&word=%E5%90%83"
"303","img-00043","assets/gallery/generated/img-00043.png","眼睛","ㄧㄢˇ","眼","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A2%CB%87&word=%E7%9C%BC"
"317","img-00003","assets/gallery/generated/img-00003.png","太陽","ㄊㄞˋ","太","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B&word=%E5%A4%AA"
"357","img-00039","assets/gallery/generated/img-00039.png","草莓","ㄘㄠˇ","草","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%A0%CB%87&word=%E8%8D%89"
"362","img-00073","assets/gallery/generated/img-00073.png","關門","ㄍㄨㄢ","關","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%A8%E3%84%A2&word=%E9%97%9C"
"368","img-00052","assets/gallery/generated/img-00052.png","跑步","ㄆㄠˇ","跑","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A0%CB%87&word=%E8%B7%91"
"413","img-00029","assets/gallery/generated/img-00029.png","雨衣","ㄩˇ","雨","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%CB%87&word=%E9%9B%A8"
"413","img-00030","assets/gallery/generated/img-00030.png","雨傘","ㄩˇ","雨","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%CB%87&word=%E9%9B%A8"
"446","img-00018","assets/gallery/generated/img-00018.png","汽車","ㄑㄧˋ","汽","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7%CB%8B&word=%E6%B1%BD"
"455","img-00015","assets/gallery/generated/img-00015.png","衣服","ㄧ","衣","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E8%A1%A3"
"457","img-00010","assets/gallery/generated/img-00010.png","皮球","ㄆㄧˊ","皮","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A7%CB%8A&word=%E7%9A%AE"
"461","img-00072","assets/gallery/generated/img-00072.png","錢包","ㄑㄧㄢˊ","錢","待產生","國小1-4年級字頻篩選；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7%E3%84%A2%CB%8A&word=%E9%8C%A2"
